OBJECTID,DISTRICT,COUNTY,PWSID,SYSNAME,SYS_STATUS,FAC_ID,WTP_ID,WTPNAME,SAMP_PT_ID,SAMP_TYPE,SAMP_LAB_ID,SAMP_DATE,ANALYTE_CD,ANALYTE,LESSTHANDETECT,SAMPLE_RESULT,UNIT,ACTIONLEVEL
12962621,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,EP001       ,RT,PFL-35562791002,2020/07/13,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962622,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,EP001       ,RT,PFL-35562791002,2020/07/13,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962623,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,EP001       ,RT,PFL-35562791002,2020/07/13,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962624,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,EP001       ,RT,PFL-35562791002,2020/07/13,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962625,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,EP001       ,RT,PFL-35562791002,2020/07/13,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962626,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,GWR001      ,RT,PFL-35562791003,2020/07/13,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962627,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,GWR001      ,RT,PFL-35562791003,2020/07/13,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962628,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,GWR001      ,RT,PFL-35562791003,2020/07/13,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962629,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,GWR001      ,RT,PFL-35562791003,2020/07/13,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962630,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,GWR001      ,RT,PFL-35562791003,2020/07/13,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962631,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,GWR001      ,RT,PFL-35562791003,2020/07/13,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962632,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794002,2020/07/13,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962633,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794002,2020/07/13,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962634,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794002,2020/07/13,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962635,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794002,2020/07/13,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962636,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794002,2020/07/13,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962637,NWDO,ASHLAND,OH0345412   ,FIN FEATHER FUR OUTFITTERS,A,360727,1557,FIN FEATHER FUR OUTFITTERS,EP001       ,RT,PFL-35562794002,2020/07/13,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
